"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Gideon Ray";"";17;15;1;177.8;83.91;0.0;"Southpaw";"1973-05-27";2.08;40.0;2.58;53.0;1.49;100.0;0.0;0.0;-66.2424
"Giga Chikadze";"Ninja";15;3;0;182.88;65.77;187.96;"Orthodox";"1988-08-25";4.08;43.0;3.44;62.0;0.23;33.0;69.0;0.2;-2.5
"Gilbert Burns";"Durinho";22;6;0;177.8;77.11;180.34;"Orthodox";"1986-07-20";3.36;48.0;3.34;54.0;1.95;35.0;47.0;0.5;-12.7143
"Gilbert Melendez";"El Nino";22;8;0;175.26;65.77;185.42;"Orthodox";"1982-04-12";3.44;33.0;2.53;63.0;1.64;41.0;71.0;0.2;-23.8667
"Gilbert Smith";"";12;6;0;175.26;83.91;0.0;"Southpaw";"1981-10-19";1.09;41.0;2.73;35.0;3.51;60.0;0.0;1.2;-22.0
"Gilbert Urbina";"The RGV Bad Boy";7;3;0;190.5;77.11;190.5;"Orthodox";"1996-04-05";6.33;60.0;4.09;47.0;3.96;50.0;0.0;1.0;-10.1
"Gilbert Yvel";"The Hurricane";39;16;1;187.96;102.06;195.58;"Orthodox";"1976-06-30";1.05;47.0;1.78;50.0;0.0;0.0;25.0;1.0;-52.8393
"Gillian Robertson";"The Savage";12;8;0;165.1;52.16;160.02;"Orthodox";"1995-05-17";2.6;45.0;3.21;55.0;2.46;41.0;43.0;0.9;-32.8
"Gina Carano";"Conviction";7;1;0;172.72;65.77;0.0;"Orthodox";"1982-04-16";4.5;47.0;2.66;64.0;1.24;66.0;85.0;1.6;1.125
"Gina Mazany";"Danger";7;6;0;167.64;56.7;172.72;"Southpaw";"1988-08-19";3.73;50.0;3.52;50.0;4.34;52.0;33.0;0.2;-26.2308
"Glaico Franca Moreira";"Nego";15;5;0;182.88;70.31;195.58;"Orthodox";"1991-02-28";2.35;42.0;3.46;47.0;2.68;42.0;76.0;0.3;-13.75
"Gleison Tibau";"";33;14;0;177.8;70.31;180.34;"Southpaw";"1983-10-07";1.95;31.0;2.51;63.0;4.08;53.0;92.0;0.8;-46.8298
"Gloria de Paula";"Glorinha";6;5;0;165.1;52.16;170.18;"Orthodox";"1995-06-10";4.89;53.0;3.77;66.0;0.74;37.0;65.0;0.5;-21.7273
"Glover Teixeira";"";33;9;0;187.96;92.99;193.04;"Orthodox";"1979-10-28";3.73;49.0;4.43;51.0;2.11;33.0;60.0;0.9;-19.0714
"Godofredo Pepey";"";13;6;0;170.18;65.77;185.42;"Orthodox";"1987-07-02";2.32;38.0;3.23;47.0;0.37;7.0;35.0;1.5;-21.1053
"Goiti Yamauchi";"";21;3;0;177.8;65.77;0.0;"";"";1.66;54.0;1.01;66.0;0.0;0.0;0.0;4.3;3.375
"Gokhan Saki";"The Rebel";1;2;0;182.88;92.99;185.42;"Orthodox";"1983-10-19";7.09;58.0;4.57;53.0;0.0;0.0;100.0;0.0;-9.66667
"Goran Reljic";"";15;8;0;190.5;92.99;205.74;"Southpaw";"1984-03-20";1.69;37.0;2.69;59.0;1.69;50.0;33.0;1.1;-30.2174
"Grant Dawson";"KGD";20;2;1;177.8;70.31;182.88;"Switch";"1994-02-20";2.97;51.0;2.27;45.0;3.68;36.0;40.0;1.5;7.3913
"Gray Maynard";"";13;7;1;175.26;70.31;177.8;"Orthodox";"1979-05-09";1.92;32.0;2.64;66.0;2.91;47.0;81.0;0.7;-26.9524
"Greg Nagy";"";1;3;0;185.42;95.25;0.0;"Orthodox";"1983-10-18";0.41;50.0;2.69;37.0;0.0;0.0;0.0;1.2;-14.75
"Greg Soto";"";9;4;0;180.34;77.11;185.42;"Orthodox";"1986-06-03";3.21;63.0;2.61;52.0;1.49;27.0;44.0;1.0;-13.7692
"Gregor Gillespie";"The Gift";14;1;0;170.18;70.31;180.34;"Orthodox";"1986-11-13";3.74;52.0;2.3;57.0;6.86;48.0;100.0;0.8;8.06667
"Gregory Rodrigues";"Robocop";14;5;0;190.5;83.91;190.5;"Orthodox";"1992-02-17";5.99;55.0;5.67;51.0;2.4;50.0;100.0;0.5;-14.6842
"Guangyou Ning";"Smasher";5;4;1;162.56;65.77;162.56;"Southpaw";"1981-12-15";2.66;41.0;1.91;61.0;1.09;50.0;62.0;0.3;-17.5
"Guido Cannetti";"Ninja";10;8;0;167.64;61.23;172.72;"Southpaw";"1979-12-19";3.44;55.0;2.84;51.0;2.27;55.0;64.0;0.4;-34.4444
"Gunnar Nelson";"Gunni";19;5;1;180.34;77.11;182.88;"Switch";"1988-07-28";1.84;61.0;3.0;49.0;1.9;59.0;66.0;1.0;-10.56
"Gustavo Lopez";"";12;6;1;165.1;61.23;170.18;"Orthodox";"1989-06-27";2.48;40.0;3.87;57.0;1.74;41.0;31.0;0.7;-22.4211
"Guto Inocente";"";7;4;0;190.5;92.99;0.0;"Orthodox";"1986-05-29";4.13;66.0;2.92;54.0;0.67;33.0;66.0;0.7;-15.5455
